normal,all,0.38,52,3529,31-05-2022_12-04-53,t5-large,/scratch/arminz/tmp/currl_/data/all/data/svgdotjs/svg.js_conf,source-test,2022-05-31 12:04:53.382294, 2022-05-31 12:09:06.077077, 2022-05-31 12:43:00.902393, 2022-05-31 12:43:00.905055
normal,/data/all/data/qooxdoo/qooxdoo,0.48,18,115,31-05-2022_12-49-41,t5-large,/scratch/arminz/tmp/currl_/data/all/data/qooxdoo/qooxdoo_length_label,repo-based-included,2022-05-31 12:49:41.125255, 2022-05-31 12:50:55.204021, 2022-05-31 12:52:32.521578, 2022-05-31 12:52:32.525204
normal,all,0.47,52,3529,31-05-2022_12-53-07,t5-large,/scratch/arminz/tmp/currl_/data/all/data/qooxdoo/qooxdoo_length_label,source-test,2022-05-31 12:53:07.576964, 2022-05-31 12:56:55.655588, 2022-05-31 13:30:52.660777, 2022-05-31 13:30:52.663309
normal,/data/all/data/zloirock/core-js,0.37,8,41,31-05-2022_13-35-02,t5-large,/scratch/arminz/tmp/currl_/data/all/data/zloirock/core-js_length_label,repo-based-included,2022-05-31 13:35:02.901753, 2022-05-31 13:36:16.858313, 2022-05-31 13:36:53.798205, 2022-05-31 13:36:53.802752
normal,all,0.48,52,3529,31-05-2022_13-37-26,t5-large,/scratch/arminz/tmp/currl_/data/all/data/zloirock/core-js_length_label,source-test,2022-05-31 13:37:26.261545, 2022-05-31 13:41:21.355375, 2022-05-31 14:16:00.291877, 2022-05-31 14:16:00.294468
normal,/data/all/data/emberjs/ember.js,0.53,11,47,31-05-2022_14-20-31,t5-large,/scratch/arminz/tmp/currl_/data/all/data/emberjs/ember.js_length_label,repo-based-included,2022-05-31 14:20:31.328480, 2022-05-31 14:21:21.633399, 2022-05-31 14:22:09.143056, 2022-05-31 14:22:09.145267
normal,all,0.48,52,3529,31-05-2022_14-22-52,t5-large,/scratch/arminz/tmp/currl_/data/all/data/emberjs/ember.js_length_label,source-test,2022-05-31 14:22:52.246431, 2022-05-31 14:27:06.044982, 2022-05-31 15:01:58.466686, 2022-05-31 15:01:58.468826
normal,/data/all/data/foam-framework/foam,0.36,13,33,31-05-2022_15-07-05,t5-large,/scratch/arminz/tmp/currl_/data/all/data/foam-framework/foam_length_label,repo-based-included,2022-05-31 15:07:04.746841, 2022-05-31 15:08:16.857028, 2022-05-31 15:09:05.184051, 2022-05-31 15:09:05.185967
normal,all,0.48,52,3529,31-05-2022_15-10-07,t5-large,/scratch/arminz/tmp/currl_/data/all/data/foam-framework/foam_length_label,source-test,2022-05-31 15:10:05.573883, 2022-05-31 15:14:31.812668, 2022-05-31 15:50:14.424786, 2022-05-31 15:50:14.436727
normal,/data/all/data/elastic/kibana,0.47,17,51,31-05-2022_15-54-58,t5-large,/scratch/arminz/tmp/currl_/data/all/data/elastic/kibana_length_label,repo-based-included,2022-05-31 15:54:58.434533, 2022-05-31 15:56:21.404433, 2022-05-31 15:57:19.499381, 2022-05-31 15:57:19.503796
normal,all,0.48,52,3529,31-05-2022_15-57-54,t5-large,/scratch/arminz/tmp/currl_/data/all/data/elastic/kibana_length_label,source-test,2022-05-31 15:57:54.619718, 2022-05-31 16:02:05.675265, 2022-05-31 16:37:28.981750, 2022-05-31 16:37:28.984026
normal,/data/all/data/Encapsule-Annex/onm,1.00,1,39,31-05-2022_16-41-55,t5-large,/scratch/arminz/tmp/currl_/data/all/data/Encapsule-Annex/onm_length_label,repo-based-included,2022-05-31 16:41:55.903408, 2022-05-31 16:42:45.581077, 2022-05-31 16:43:08.896076, 2022-05-31 16:43:08.897949
normal,all,0.48,52,3529,31-05-2022_16-43-43,t5-large,/scratch/arminz/tmp/currl_/data/all/data/Encapsule-Annex/onm_length_label,source-test,2022-05-31 16:43:43.912786, 2022-05-31 16:48:15.215289, 2022-05-31 17:23:24.942330, 2022-05-31 17:23:24.944562
normal,/data/all/data/sequelize/sequelize,0.38,12,40,31-05-2022_17-28-19,t5-large,/scratch/arminz/tmp/currl_/data/all/data/sequelize/sequelize_length_label,repo-based-included,2022-05-31 17:28:19.378678, 2022-05-31 17:30:09.213274, 2022-05-31 17:31:07.105707, 2022-05-31 17:31:07.109111
normal,all,0.48,52,3529,31-05-2022_17-31-50,t5-large,/scratch/arminz/tmp/currl_/data/all/data/sequelize/sequelize_length_label,source-test,2022-05-31 17:31:50.072125, 2022-05-31 17:36:17.448601, 2022-05-31 18:11:56.070472, 2022-05-31 18:11:56.073586
normal,/data/all/data/dcos/dcos-ui,0.92,9,37,31-05-2022_18-16-10,t5-large,/scratch/arminz/tmp/currl_/data/all/data/dcos/dcos-ui_length_label,repo-based-included,2022-05-31 18:16:10.736128, 2022-05-31 18:19:42.190581, 2022-05-31 18:20:17.034907, 2022-05-31 18:20:17.038186
normal,all,0.48,52,3529,31-05-2022_18-20-49,t5-large,/scratch/arminz/tmp/currl_/data/all/data/dcos/dcos-ui_length_label,source-test,2022-05-31 18:20:49.455277, 2022-05-31 18:26:57.298728, 2022-05-31 19:02:20.934177, 2022-05-31 19:02:20.937181
normal,/data/all/data/LivelyKernel/LivelyKernel,0.64,12,36,31-05-2022_19-06-36,t5-large,/scratch/arminz/tmp/currl_/data/all/data/LivelyKernel/LivelyKernel_length_label,repo-based-included,2022-05-31 19:06:36.004451, 2022-05-31 19:07:56.042115, 2022-05-31 19:08:42.161362, 2022-05-31 19:08:42.164246
normal,all,0.48,52,3529,31-05-2022_19-09-24,t5-large,/scratch/arminz/tmp/currl_/data/all/data/LivelyKernel/LivelyKernel_length_label,source-test,2022-05-31 19:09:24.564290, 2022-05-31 19:13:23.816384, 2022-05-31 19:48:55.782562, 2022-05-31 19:48:55.784730
normal,/data/all/data/svgdotjs/svg.js,0.68,5,31,31-05-2022_19-53-01,t5-large,/scratch/arminz/tmp/currl_/data/all/data/svgdotjs/svg.js_length_label,repo-based-included,2022-05-31 19:53:01.021044, 2022-05-31 19:53:49.589316, 2022-05-31 19:54:20.188838, 2022-05-31 19:54:20.192477
normal,all,0.47,52,3529,31-05-2022_19-54-50,t5-large,/scratch/arminz/tmp/currl_/data/all/data/svgdotjs/svg.js_length_label,source-test,2022-05-31 19:54:50.638686, 2022-05-31 19:59:06.669178, 2022-05-31 20:34:44.987713, 2022-05-31 20:34:44.989886
normal,/data/all/data/qooxdoo/qooxdoo,0.49,18,115,04-05-2022_18-56-22,t5-large,/scratch/arminz/tmp/currl_/data/all/data/qooxdoo/qooxdoo_length_input,repo-based-included
normal,all,0.35,52,3529,04-05-2022_18-57-30,t5-large,/scratch/arminz/tmp/currl_/data/all/data/qooxdoo/qooxdoo_length_input,source-test
normal,/data/all/data/zloirock/core-js,0.20,8,41,04-05-2022_19-17-18,t5-large,/scratch/arminz/tmp/currl_/data/all/data/zloirock/core-js_length_input,repo-based-included
normal,all,0.35,52,3529,04-05-2022_19-18-06,t5-large,/scratch/arminz/tmp/currl_/data/all/data/zloirock/core-js_length_input,source-test
normal,/data/all/data/emberjs/ember.js,0.51,11,47,04-05-2022_19-38-32,t5-large,/scratch/arminz/tmp/currl_/data/all/data/emberjs/ember.js_length_input,repo-based-included
normal,all,0.35,52,3529,04-05-2022_19-39-13,t5-large,/scratch/arminz/tmp/currl_/data/all/data/emberjs/ember.js_length_input,source-test
